timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637062442096,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,558,122,3,3,http://google.com/classroom,142,0,70
1637062442238,235,HTTP Request-1,301,Moved Permanently,Thread Group 1-7,text,true,,725,126,3,3,https://www.google.com/classroom,235,0,160
1637062442474,325,HTTP Request-2,302,Moved Temporarily,Thread Group 1-7,text,true,,1917,123,3,3,https://classroom.google.com/,324,0,143
1637062442800,474,HTTP Request-3,200,OK,Thread Group 1-7,text,true,,102278,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,290,0,156
1637062442595,1666,HTTP Request,200,OK,Thread Group 1-8,text,true,,105454,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,146,0,72
1637062442595,146,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,558,122,4,4,http://google.com/classroom,146,0,72
1637062442742,235,HTTP Request-1,301,Moved Permanently,Thread Group 1-8,text,true,,725,126,4,4,https://www.google.com/classroom,235,0,160
1637062442978,817,HTTP Request-2,302,Moved Temporarily,Thread Group 1-8,text,true,,1917,123,4,4,https://classroom.google.com/,817,0,155
1637062443795,466,HTTP Request-3,200,OK,Thread Group 1-8,text,true,,102254,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,287,0,151
1637062443096,1310,HTTP Request,200,OK,Thread Group 1-9,text,true,,106401,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,71
1637062443096,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,558,122,3,3,http://google.com/classroom,142,0,71
1637062443239,224,HTTP Request-1,301,Moved Permanently,Thread Group 1-9,text,true,,725,126,3,3,https://www.google.com/classroom,224,0,152
1637062443464,460,HTTP Request-2,302,Moved Temporarily,Thread Group 1-9,text,true,,1917,123,3,3,https://classroom.google.com/,460,0,154
1637062443924,482,HTTP Request-3,200,OK,Thread Group 1-9,text,true,,103201,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,300,0,154
1637062443596,1232,HTTP Request,200,OK,Thread Group 1-10,text,true,,105562,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,139,0,70
